"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0x48f07c16cbd5f12939e1ab24b8a23d161d6c3596","base","Base 活跃 ERC-4337 Bundler（7日 22714 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）22714 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x54e2acab04c89a3fe02852bf8dd69ee8f526bc75","base","Base 活跃 ERC-4337 Bundler（7日 22425 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）22425 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x4b5c33c3c7a31bd108f5a99b64683b0056a62226","base","Base 活跃 ERC-4337 Bundler（7日 22013 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）22013 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x8d47ba07ff9ccccf58c7e8810ee42c0dc8b8b123","base","Base 活跃 ERC-4337 Bundler（7日 22011 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）22011 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xaf2bfb6b69dfe6efd257fe8cd694175156a23812","base","Base 活跃 ERC-4337 Bundler（7日 22006 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）22006 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xc2d17664b6f038ffa2eba5e93b73529c596dd492","base","Base 活跃 ERC-4337 Bundler（7日 15535 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）15535 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xce5c72f4b112787d59cd2390dd4548525b1b1d05","base","Base 活跃 ERC-4337 Bundler（7日 9553 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）9553 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xec5b2b400e7293976173883e0c4b555bc50e60e5","base","Base 活跃 ERC-4337 Bundler（7日 5418 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）5418 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x7540c25c054f6cf509862793239630be4e83af8d","base","Base 活跃 ERC-4337 Bundler（7日 5262 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）5262 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0x1d53960165188ee0c74a5705ee6307fea517c613","base","Base 活跃 ERC-4337 Bundler（7日 2416 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）2416 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xac7ca4b036b55399cc8a4826347750bb29b3e9fe","base","Base 活跃 ERC-4337 Bundler（7日 1914 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1914 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
"0xb1bcca2ac714a6eed7742866a2ec772394e9ea1a","base","Base 活跃 ERC-4337 Bundler（7日 1914 笔 handleOps；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：EntryPoint v0.6/v0.7 UserOperationEvent 的 tx.from，区块 48434367→48744367（约7天）1914 笔；身份服务商未归属（拦截先行）","","","","2026-07-17","2026-07-17","",""
